text,candidato
"@ZehdeAbreu Achei que você iria colocar culpa no Ciro.

Talvez isso foi ideia dele para levar Bolsonaro para o 2° turno.",bolsonaro
"@_CheerUpp_ @Aliceh09082 @gostosas2d Não, é o robô dela do Bolsonaro",bolsonaro
@vegetassjblue86 @renatinho_goes @ngelaRibeiroDo1 @luizfn87 Pqp o país vai afundar na mao do pt por causa dessas narrativas da pandemia. Acorda cara . Se fosse o pt o país teria afundado num Lockdown insano . Bolsonaro mesmo com os erros lutou contra isso . Incrível que tem gente q não enxerga isso,bolsonaro
@binerighetti BOLSOLÃO É A CORRUPÇÃO DO BOLSONARO!,bolsonaro
"@vlaubia A situação tomou tal rumo que infelizmente terei q votar no irresponsável egocêntrico do Lula... Mas se o bozo ganhar estou tranquilo pois o ""nós avisamos"" será gigante.",bolsonaro
"@Rosesz12 @AndreJanonesAdv Lamento pela sua perda,mas sobre o vídeo do Bolsonaro falando de falta de ar, seria bom você buscar o vídeo inteiro, para que você entendesse ao certo do quê ele estava falando,você está muito mal informada,o vídeo que viu está cortado,eu já o vim inteiro,a história e outra!!",bolsonaro
"@abocadelobo @desmentindobozo BOLSONARO É COLLOR
COLLOR É BOLSONARO",bolsonaro
"@Biakicis @cabogilberto BOLSONARO CORRUPTO
LULA pela democracia e pelo nosso povo.
JAIR NÃO FALA EM IGUALDADE
JAIR ACABOU COM O MINISTÉRIO DO TRABALHO
JAIR NÃO GOSTA DE TRABALHADOR
#LulaPresidente1️⃣3️⃣    #LulaEoPTuniaoEpaz https://t.co/U3zFVCaT3c",bolsonaro
@luizfn87 Voto em Bolsonaro 22.,bolsonaro
BOLSONARO CANIBAL https://t.co/3JLX0yGWPN,bolsonaro
"@JoaoSimonato @Guisaro @SamPancher Também acho que o Bolsonaro não tem respeito a nada, e apenas finge, para agradar os eleitores e continuar no poder. Que bom que concordamos.",bolsonaro
@renatajbarreto Bolsonaro não vai proibir o dono da natura de dar o nabos.,bolsonaro
"@LUIZPATRIOTA39 Bolsonaro é corrupto 
E Collor também!",bolsonaro
"@77_frota @eduardomoreira Só temos uma opção, Bolsonaro @jairbolsonaro 2️⃣2️⃣✅🇧🇷 incorruptível, o outro deveria está preso. https://t.co/CFj7cpQpBf",bolsonaro
@tiagosantineli Mais difícil é você tentar explicar para alguém que lula vai ser menos ruim que Bolsonaro,bolsonaro
@TerezaCrisMS @jairbolsonaro ricas … madames e com uma empregada em casa pra fazer o serviço… enquanto essa empregada sofre o descaso do governo do bozo !!,bolsonaro
"@mcrisportugal @mfriasoficial Mudou não, se tivesse mudado estaria fazendo o mesmo que o Bolsonaro faz acendendo uma vela pra Deus e outra pro diabo para ganhar votos usando a fé das pessoas.",bolsonaro
Vota vota aí confirmar 22 é Bolsonaro vota vota em confirmar 22 é Bolsonaro,bolsonaro
"@LulaOficial @ricardostuckert Reconstruir? Deixa essa missão com Bolsonaro, pois na gestão PT o Brasil foi saqueado... https://t.co/EUIUPemIup",bolsonaro
"@MidiaNINJA BOLSONARO 22
BOLSONARO 22
BOLSONARO 22
BOLSONARO 22
BOLSONARO 22
BOLSONARO 22
BOLSONARO 22
BOLSONARO 22
BOLSONARO 22
BOLSONARO 22
BOLSONARO 22
BOLSONARO 22
BOLSONARO 22
BOLSONARO 22
BOLSONARO 22
DEUS, JESUS, FAMÍLIAAAAAA!!!",bolsonaro
Meu irmão teve a coragem de me contar que votou no bozo no primeiro turno. Decepção não define… não tem nome pro que eu senti!,bolsonaro
@__dudup @FalleNCS Deppois de ligação pra presidente genocida ele pode ganhar quantos for que continua pequeno,bolsonaro
"Comparar Bolsonaro com Putin e Chaves
é sinal de precoce demência senil ou
total falta de caráter e escrúpulos neste meu Brasil?

Pum Fui https://t.co/fD09pjalL7",bolsonaro
"o melhor é ela ter falado que vai votar pelas propostas e não pelo candidato,AMADA? A “PROPOSTA” DO BOLSONARO EM 2018 ERA GÁS A 30 REAIS 🤦🏻‍♀️",bolsonaro
"Se até você declarou o voto para o Lula, que diferença faz o Bruno declarar o voto para Bolsonaro? https://t.co/qALYMIS4aW",bolsonaro
"Bolsonaro confessa que tomou TODAS as vacinas e ainda crítica Haitianos que vêm para o Brasil sem tomar.  Para o povo, Cloroquina, para ele, vacina. https://t.co/YR4sMtt7TG",bolsonaro
"@Lisboa_RML @albuquerque_af Bolsonaro - 47,7%
Lula - 40,9%",bolsonaro
BOLSONARO  CANIBAL https://t.co/E1ZTPgSw7c,bolsonaro
@AndreJanonesAdv Estou com medo do collor ser ministro do Bolsonaro ele faz magia do demônio.,bolsonaro
"@abocadelobo BOLSONARO É COLLOR
COLLOR É BOLSONARO

esse vídeo é a bala de prata",bolsonaro
@reinaldoazevedo Qual a diferença em valores do petrolão e mensalão do PT pro mensalão e tratoraço do Bozo? Você sabe?,bolsonaro
"@nikolas_dm Pra quem achava pouco autoritarismo, corrupção, fome, desemprego e inflação, Bolsonaro agora chamou o Collor.🤣👇 https://t.co/wa5DV8pQPb",bolsonaro
@BlogdoNoblat Quem é a favor do respeito à Constituição não vota no Bolsonaro.,bolsonaro
"@Exmarxistaa Penso exatamente assim, fizeram campanha do voto útil e não vejo mais de onde tirar, a menos que consiga tirar do Bolsonaro, diretamente. O que eu duvido, aliás, acredito mesmo é no contrário.",bolsonaro
@LulaOficial Bolsonaro já fez mais do que qualquer governo nesse país e olha que teve a pandemia e a crise hidrica sem contar aquelas que não foram divulgadas pela grande mídia!!!!O mito vai continuar fazendo muito mais !!!,bolsonaro
"Governo PT: 120 milhões em orçamento secreto em 16 anos, todos indices melhorando com estado gigante. 
Governo Bozo: 61 milhões de orçamento secreto em 3 anos e bolinha, Brasil quebrando mesmo tendo cortado ministérios e o estado estar menor

Bolsominion: Mas o PT robou muito",bolsonaro
"@RosaneF47336818 @ihatecrentes @lucasouclaus @Ticostacruz Não defendo bozo sua idiota, sou contra corrupção, e digo mais se seu lixo de presidente tivesse feito hospitais no lugar de estádios teria salvo milhares de vida . Pois estádios não salva vida,só serviu pra desviar mais e mais dinheiro público.  Covardes.",bolsonaro
@Rozilimacabral Boa noite Patriota Seguindo SDV,bolsonaro
"@comuna_pro @hopeluta_ 🚨TWITAÇO🚨
#LulaPresidente13
Vão lotar:
#LulaEmBH

#ReestatizaEletrobras
FRENTE AMPLA ESTOU COM LULA 13 PRESIDENTE 13
@LulaOficial
@ptbrasil 
@PDT_Nacional 
@cirogomes
@MDB_Nacional
@simonetebetbr 
@MarinaSilva
@AndreJanonesAdv
@PSDBoficial
@FHC 
@PSD_55 
@Haddad_Fernando",lula
"@Boscardin Fácil, extremamente fácil. Pra você, eu e todo mundo votar junto.
Lula 13.",lula
@77_frota Lula é um vagabundo @77_frota ! devia estar na Cadeia,lula
ESTOU  COM LULA https://t.co/BYeBZtgCWK,lula
@CarlosS48442375 @bragaantonio979 Lula 13  #LulaPresidente1️⃣3️⃣,lula
Lula e um mar de gente em Belo Horizonte https://t.co/xeRAleZqaJ #LulaPresidente13,lula
@requiaooficial Faz o L de leite condensado faz!,lula
"@hidemi_miyamoto @oswaldtoshiro @fabiosleal_ A questão é q falei sobre como vcs tem mania de falar q as merd@s do Lula são mais cheirosas e agora tu tá falando de voto útil... Tá doidão 
https://t.co/uPZGvNlWnf",lula
"@geisyarrudareal O maior narcotraficante da America Latina vota LULA.
O eleitor do LULA já matou centenas de pessoas.
Quer o narcotráfico forte? Faz o L.
Assassino. https://t.co/h9eQHvyvOx",lula
"Eu fico com a análise final do que me lembro bem durante o governo Lula e Dilma, nas palavras de Unger. Não vou fazer campanha pra o Bozo, mas está decidido, fui Ciro por anos e serei no futuro. Agora vai ser #22 https://t.co/22KLAfDaad",lula
"@bardomalhado Quem gera o dinheiro que movimenta o estado são os capitalistas, as empresas, as indústrias, as fazendas, que o Lula tanto critica. O estado pega este dinheiro e se mantém.",lula
"A visita do Lula a BH foi SUUUCEESSOOOO!! 

MINAS GERAIS É 13! ⭐️❤️ #LulaPresidente1️⃣3️⃣ #LulaEmBH",lula
"@AyrtonMFerreira @CiroXadrez @TamirFelipe reacionária. Alimentou a narrativa que, em 2018, ele mesmo combatia: a de que o PT e o Lula seriam corruptos. Nunca vou esquecer. Ciro mostrou um falta de caráter e de compromisso com qualquer noção que envolva o mínimo de dignidade.
Infelizmente ele voltará. Sei disso.",lula
"Atenção povo Mineiro o Nine mandou avisar que já era para MG.
@nikolas_dm @jairbolsonaro @Miltonneves @zoemartinez_05 @rmotta2 @PeKelmonApoio @CarolDeToni @FlavioBolsonaro @barbaracoelho @carlosjordy @carmelonetobr @CarlosBolsonaro @BolsonaroSP @flferronato @ https://t.co/uNp7GlaUjp",lula
@reanjos1972 @felipepena Explica isso pra um pai que perdeu seu filho! Lula é criminoso. https://t.co/Z5poiAienN,lula
"Rejeitamos o apoiado por estuprador, assassinos, rachadores, sonegadores de impostos e outros tipos de criminosos. Votamos 13, Lula. Somos cristãos, antirracistas, anti-preconceituosos, antifascistas e antigenocidas. somos Lula 13. https://t.co/WcwZdLAhPm",lula
@guimaraes13PT @LulaOficial ESTOU COM LULA 13 13 13,lula
"Importante Fala!
LULA PRESIDENTE 13 https://t.co/1Wbz47XpvF",lula
"@0endemoniado BRASIL URGENTE, LULA PRESIDENTE!!!!",lula
"@LulaOficial O SONHO DE  MINHA  MAMÃE SEMPRE FOI  DAR UM ABRAÇO EM LULA MAS INFELIZMENTE, NÃO  DEU TEMPO JESUS A LEVOU ESSE  TAMBÉM É O  MEU  MAIOR  SONHO MEU PRESIDENTE  SERÁ QUE VOU  CONSEGUIR  LHE DAR UM ABRAÇO POR MIM E PELA MINHA  MAMÃE  SERÁ SOU DE PIRASSUNUNGA INTERIOR DE SÃO PAULO",lula
@lynxmito N SABIA Q ERA DO LULA NAAOOO,lula
"Vamos divulgar a solicitação do Lula para que todos se inscrevam no canal do YouTube.
Vamos lá?! 
#eleições
https://t.co/e1Oj57f4SP",lula
@elikatakimoto Antes mesmo do Lula ladrão se eleger um vereador petista invadir uma igreja durante uma celebração e interrompeu,lula
"@LulaOficial Lula , quem apoia ditaduras e ditadores e você que tem fotos apoiando,Hugo Chaves , Nicolas maduro, Fidel castro ,você que regulamentar os meios de comunicação assim como maduro fez pesquisem pessoal quem são as pessoas que lula apoia e vocês mudaram de lado com certeza",lula
@HugoLeo98417526 @beowulf2303 @bianasamericas @Collor A Lula tem elle mesmo se Brasil não e tamanho desse elle até Brasil desviará para Cuba kkkkk,lula
"Você vota no Lula pi pi pi po po po....
🤣🤣🤣🤣🤣o povo tá chato demais!!!! Credo.",lula
"@todoscomciro Infelizmente, depois de chamar Lula de ladrão, seu apoio a este elemento sepultou a sua carreira política. Te achava uma pessoa coerente, mas esse apoio me decepcionou.",lula
se ateez está com lula então o kpop stan twitter está com bolsonaro,lula
"@VitaoPatriota Da mesma forma que esse criminosos querem fazer com que Lula seja o mandante do assassinato de Celso Daniel, se também fossemos assim poderíamos espalhar quem é o mandante da morte do Capitão Adriano. Com mais veracidade e elementos de convicção, não ?",lula
"@pana_mericano @rafaelbboa @nikolas_dm Puff, se Lula que foi condenado em 3 instâncias está live, imagine Bolsonaro que não têm corrupção nenhuma no lombo!     
Só, narrativas sem provas de nada! 
Lula que se cuide, porque se Bolsonaro vencer, o processo vai reiniciar em Brasília, já que ""o STF deseja assim"".",lula
@laurenabrao Só pra tentar te convencer: imagina a atmosfera com o lula presida 🤓,lula
"@Alexand99177506 @LulaOficial Você fala do orçamento secreto sendo que quem o criou foi a Dilma em 2011 🤣🤣🤣🤣, quem manda no país é o parlamento não o centrão tem muita diferença, e até hoje não provaram nada contra ele engraçado né, já o ex presidiário....",lula
@reinaldoazevedo Se o Lula ganhar como ele vai aprovar a PEC? Já que os ministros bolsonaristas só assumem no próximo mandato! 🤷🏻‍♂️🐴,lula
👉👉Onde Lula e Bolsonaro tiveram mais de 50% nas #Eleicoes2022 https://t.co/ZBEZrlV094,lula
@ThiagoResiste @LulaOficial Estou com Lula.,lula
",,,,,  ARRASADOR..
LULA  O FILHO  DE DEUS  ARRASTA  MULTIDÃO  DE 250 MIL PESSOAS EM BH
O POVO QUER O FORA  DO DEMÔNIO  MAÇOM E COMEDOR DE CARNE HUMANA  BOZONARO.
              O BRASIL  É LULA....
https://t.co/9rzbAYmHBh",lula
@GuilhermeBoulos Vc deveria ajudar seu bichinho LULADRAO A ACHAR O CAMINHO DA CADEIA NÉ?,lula
"@Doprimido2 Só isso q o nine sabe fazer. Ameaçar, roubar e ser mentiroso",lula
"@brom_elisa Típico eleitor do moLusco, adorando seu pai nine fingers sentado na madeira haha",lula
"@roberta_bastoss Bem
Isso eu entendo

Mas curte e segue mais os esquerdistas que fazem campanha a Lula como eu?

TMJ
#LulaNoSegundoTurno 
#HaddadGovernador13",lula
Lula disse em alto bom som que vai boicotar Zema (Minas Gerais) caso seja eleito. E ainda vai ter mineiro votando nesse vagabundo,lula
"Então sim, meu voto foi pro Lula e não me arrependo, mas como deixei claro se tivesse  chance de outro candidato ganhar, meu voto iria ser dele!!!!",lula
"@themvxr @talvezsimtalve2 @CarlosBolsonaro Ué, mas porque então Carluxo e companhia não divulgam esse vídeo? Rsrs sabe porque? Pq é um vídeo falso e Lula nesse vídeo fala sobre o Brasil. Mas como há uma edição de computador e insere essas maluquices ele não pode divulgar pq é crime. Mas saiba que acabo de denunciar…",lula
"@roxmo Esses petistas são aquele estrume que vc vê no pasto uma pilha de bosta é no topo dela um barbado condenado não inocente dos seus delitos é solto pelos amigos..
As moscas que ficam voando ao redor do monte de estrume ""bosta"" são os apoiadores fanáticos do bandido LULA. https://t.co/v2nLL7IWvy",lula
"@yamoraes @marque_regina mas se são inteligentes, que liberdades serão perdidas com a muito em breve vitória do lula?",lula
"E sim, o Lula roubou o país é ex presidiário, mas ele fez muita coisa pelo país, como ProUni, bolsa família, tirou o país do mapa da fome, ajudou muito o nordeste, entre outros, por mais q ele tenha roubado, podemos reconhece oq fez pelo país.",lula
"@soujhom @LulaOficial Nordeste com Lula significa continuar e aumentar a pobreza.
Será que essas décadas de miséria com Lula aqui na nossa região Nordeste ainda não é o bastante?",lula
13é Lula https://t.co/XvXH7kfHP5,lula
"@guilherme_amado Ou seja, se o cachaceiro ganhar terá negociação das riquezas do Brasil; se o Bolsonaro ganhar, nem adianta tentar.",lula
@AlanLopesRio @alexandre vai mandar retirar este vídeo. #STFOrganizacaoCriminosa #LulaLadrao,lula
